subset,size,spearman_rho,p
CI+PI,2,0.20074166250026101,0.3583921199785955
ER+CI+PI,3,0.12802769730253655,0.5604569314859758
ER,1,0.12495873755602743,0.5699700189987478
PI,1,0.07229894217240146,0.7430426275936443
CE+ER+CI,3,0.0576162215628091,0.793996050958219
CE+ER+CI+PI,4,0.04152249642244429,0.85079005361474
ER+PI,2,0.03890963830069981,0.8600864972472022
ER+CI,2,0.03588221726254174,0.8708803738087639
ER+CI+EM+PI,4,0.028175979715230046,0.8984524277409881
ER+CI+EM,3,0.018788628509876643,0.9321903903587403
CE+ER+CI+EM,4,-0.007909046937608435,0.9714293832042987
CE+ER+CI+EM+PI,5,-0.020266932777621614,0.9268684382612681
CI+EM+PI,3,-0.04399407359044692,0.8420139116160835
CE+CI+PI,3,-0.04499382090523091,0.8384690815974065
ER+EM+PI,3,-0.046477133682326435,0.8332152713569206
CE+ER+PI,3,-0.04726554135962395,0.8304255675448773
CE+PI,2,-0.05690253046898388,0.7964954890473597
CE+CI+EM+PI,4,-0.05734059029766115,0.7949611162538832
CE+CI,2,-0.06976745040110197,0.7517600017328513
CI,1,-0.0768107410654339,0.7275819706868946
EM+PI,2,-0.08257107792498421,0.7079919848827098
CE+ER,2,-0.0993806685259912,0.6518788087678474
ER+EM,2,-0.11619283420581608,0.5975271995817376
CE+ER+EM+PI,4,-0.1221260853141982,0.5788133576822154
CI+EM,2,-0.14660074613627436,0.5044621143273222
CE+CI+EM,3,-0.14681168377935658,0.5038422913413879
CE+ER+EM,3,-0.15426452881793454,0.48218429022168097
CE+EM+PI,3,-0.2160692278635814,0.32207324584039126
EM,1,-0.2867417293879597,0.18466228440550317
CE,1,-0.31495595464550175,0.14324918612787027
CE+EM,2,-0.32607623981791634,0.12890058607021534
