model,n_trials,delegation_rate,answer_rate,ans_accuracy,ans_mean_conf,ece_4bin,brier,deleg_auc_vs_hardness,deleg_auc_vs_own_err,mean_score
deepseek-r1-0528,2,0.0,1.0,1.0,3.0,0.33333333333333337,0.11111111111111113,,,1.0
glm-5,5,0.0,1.0,1.0,4.0,0.0,0.0,,,1.0
gemma-4-31b-it,32,0.0,1.0,0.875,3.75,0.04166666666666666,0.06944444444444445,,,0.875
gemini-3.1-pro-preview,74,0.13513513513513514,0.8648648648648649,0.859375,3.75,0.05729166666666663,0.09548611111111112,0.41742424242424236,0.763157894736842,0.8581081081081081
gemma-4-26b-a4b-it,59,0.0,1.0,0.8305084745762712,3.9661016949152543,0.1807909604519774,0.17325800376647832,,,0.8305084745762712
qwen3-next-80b-a3b-thinking,9,0.0,1.0,0.7777777777777778,4.0,0.2222222222222222,0.2222222222222222,,,0.7777777777777778
deepseek-v3.2,19,0.21052631578947367,0.7894736842105263,0.8,3.0,0.26666666666666666,0.20740740740740743,0.46590909090909094,0.7857142857142857,0.755263157894737
claude-opus-4-6-default,26,0.07692307692307693,0.9230769230769231,0.7083333333333334,3.3333333333333335,0.06944444444444443,0.16203703703703703,0.48125,0.6111111111111112,0.7192307692307692
claude-opus-4-1-20250805,80,0.2125,0.7875,0.6666666666666666,3.1587301587301586,0.05291005291005283,0.19753086419753088,0.5003223726627982,0.7236842105263158,0.705625
claude-haiku-4-5-20251001,80,0.45,0.55,0.6818181818181818,2.3181818181818183,0.24242424242424232,0.2777777777777778,0.5477111540941328,0.86,0.6712499999999999
gpt-5.4-2026-03-05,80,0.2125,0.7875,0.6190476190476191,3.3174603174603177,0.1746031746031747,0.2698412698412698,0.4745325596389426,0.7073170731707317,0.655
qwen3-235b-a22b-instruct-2507,80,0.1875,0.8125,0.5692307692307692,3.953846153846154,0.41538461538461535,0.4153846153846154,0.5048355899419729,0.6744186046511628,0.621875
gpt-oss-20b,80,0.0125,0.9875,0.620253164556962,3.3037974683544302,0.28270042194092826,0.3023909985935302,0.48484848484848486,0.5161290322580645,0.56625
qwen3-coder-480b-a35b-instruct,80,0.0,1.0,0.5375,3.075,0.15416666666666662,0.28194444444444444,,,0.5375
gpt-5.4-mini-2026-03-17,80,0.0,1.0,0.5375,3.8875,0.42499999999999993,0.425,,,0.5375
gemini-2.0-flash-lite-001,80,0.025,0.975,0.5128205128205128,3.1923076923076925,0.21794871794871767,0.2863247863247863,0.49548678272082525,0.525,0.52125
gemma-3-27b-it,80,0.2,0.8,0.4375,3.984375,0.5677083333333334,0.5642361111111112,0.4638942617666022,0.6538461538461539,0.52
gpt-5.4-nano-2026-03-17,80,0.375,0.625,0.38,2.26,0.14666666666666656,0.28444444444444444,0.5354609929078015,0.7459016393442623,0.49312500000000004
qwen3-next-80b-a3b-instruct,80,0.0,1.0,0.45,4.0,0.55,0.55,,,0.45
gemma-3-12b-it,80,0.0,1.0,0.4,4.0,0.6,0.6,,,0.4
gemma-3-4b-it,80,0.0,1.0,0.3625,3.975,0.6291666666666667,0.6236111111111111,,,0.3625
gemma-3-1b-it,80,0.0,1.0,0.35,3.0,0.31666666666666676,0.3277777777777778,,,0.35
gemini-2.5-flash,70,0.0,1.0,0.4142857142857143,2.257142857142857,0.02380952380952392,0.2111111111111111,,,0.3092857142857143
