model,t01_delegate_game,t02_declared_probe,t03_second_chance,t04_confidence_entropy,t05_teammate_delegate,t06_behavioral_er,t07_behavioral_ci,t08_behavioral_em,t09_behavioral_pi,t10_dpp_sequence,t11_mc_binary_pairs
claude-haiku-4-5-20251001,0.6712,0.559,0.5513,0.8182,0.64,1.0,1.0,0.5,0.9825,0.0656,0.5
claude-opus-4-1-20250805,0.7056,0.5055,0.4387,0.8002,0.6694,0.3542,0.6,0.3513,0.325,0.0981,0.2021
claude-opus-4-6-default,0.2338,0.5198,0.775,0.2021,0.7369,0.9946,0.525,0.0811,0.33,0.0675,0.1062
deepseek-r1-0528,0.025,0.117,0.325,0.3553,0.3662,0.15,0.02,0.1081,0.0425,0.0481,0.0808
deepseek-v3.2,0.1794,0.3938,0.1,0.7308,0.8125,0.9821,0.095,0.5,1.0,0.0231,0.6721
gemini-2.0-flash-lite-001,0.5212,0.7975,0.4875,0.7503,0.55,1.0,,0.5,0.605,0.3031,0.5866
gemini-2.5-flash,0.2706,0.015,0.3306,0.1772,0.1656,0.272,0.5775,0.2387,0.1237,0.1569,0.2963
gemini-3.1-pro-preview,0.7938,0.2275,0.8269,0.1801,0.9212,0.275,0.1125,0.027,0.1013,0.2706,0.1969
gemma-3-12b-it,0.4,0.4095,0.0375,0.7379,0.4062,0.6875,0.9125,0.5,0.0125,0.0213,0.3732
gemma-3-1b-it,0.35,0.214,0.3125,0.7279,0.2275,0.6946,0.5625,0.5,0.1875,0.0331,0.3875
gemma-3-27b-it,0.52,0.4075,0.4625,0.6912,0.6638,1.0,0.5775,0.5,0.95,0.1437,0.5111
gemma-3-4b-it,0.3625,0.2435,0.3263,0.5343,0.3625,0.6798,0.0075,0.4955,0.1875,,0.345
gemma-4-26b-a4b-it,0.6125,0.0075,0.325,0.2258,0.4625,0.0625,,0.1892,0.0938,0.05,0.2629
gemma-4-31b-it,0.35,0.087,0.125,0.1247,0.3875,0.1696,0.0125,0.2027,0.0412,0.0531,0.1688
glm-5,0.0625,0.2475,0.275,0.2042,0.125,0.0875,0.2575,0.1892,0.0412,0.1275,0.175
gpt-5.4-2026-03-05,0.655,0.548,0.4031,0.5425,0.6206,1.0,0.85,0.5,0.95,0.6175,0.5052
gpt-5.4-mini-2026-03-17,0.5375,0.4288,0.375,0.7286,0.5,0.9839,0.0125,0.5,0.2962,0.385,0.6148
gpt-5.4-nano-2026-03-17,0.4931,0.6978,0.2931,0.7245,0.4662,0.7792,0.3375,0.5,0.2825,0.225,0.591
gpt-oss-20b,0.5663,0.2755,0.3425,0.6911,0.7013,0.8524,0.4875,0.509,0.2975,0.1681,0.4566
qwen3-235b-a22b-instruct-2507,0.6219,0.6708,0.525,0.8111,0.5875,1.0,0.68,0.4955,0.9375,0.1456,0.5
qwen3-coder-480b-a35b-instruct,0.5375,0.8695,0.4175,0.7529,0.6825,0.9923,0.9375,0.4955,0.33,0.4569,0.579
qwen3-next-80b-a3b-instruct,0.45,0.386,0.45,0.7754,0.475,0.9938,0.99,0.5,0.2388,0.0569,0.6166
qwen3-next-80b-a3b-thinking,0.0875,0.2075,0.6375,0.5153,0.7125,0.1696,0.125,0.2387,0.1613,0.0213,0.4362
