model,rank_range,best_task,best_rank,worst_task,worst_rank,mean_rank,std_rank,n_tasks
gemini-3.1-pro-preview,22.0,t01_delegate_game,1,t08_behavioral_em,23,12.636363636363637,8.720925722338508,11
gemma-3-12b-it,21.0,t08_behavioral_em,2,t03_second_chance,23,13.545454545454545,7.257597899630929,11
deepseek-v3.2,21.0,t09_behavioral_pi,1,t03_second_chance,22,10.454545454545455,8.298959409029983,11
claude-opus-4-6-default,20.0,t03_second_chance,2,t08_behavioral_em,22,12.0,7.628892449104261,11
gemma-3-1b-it,19.0,t08_behavioral_em,2,t05_teammate_delegate,21,14.0,5.366563145999495,11
qwen3-next-80b-a3b-thinking,18.0,t03_second_chance,3,t01_delegate_game,21,14.727272727272727,6.165888566798936,11
gpt-5.4-mini-2026-03-17,17.0,t08_behavioral_em,2,t07_behavioral_ci,19,8.909090909090908,5.009082659620331,11
gemma-4-26b-a4b-it,17.0,t01_delegate_game,6,t02_declared_probe,23,17.4,4.742245131674331,10
gpt-5.4-nano-2026-03-17,17.0,t08_behavioral_em,2,t03_second_chance,19,9.909090909090908,5.412107638518389,11
claude-opus-4-1-20250805,16.0,t01_delegate_game,2,t11_mc_binary_pairs,18,9.636363636363637,5.143398239932959,11
gemini-2.5-flash,14.0,t07_behavioral_ci,8,t02_declared_probe,22,16.454545454545453,4.967164912978758,11
gpt-oss-20b,13.0,t08_behavioral_em,1,t02_declared_probe,14,9.454545454545455,4.009080601924495,11
qwen3-next-80b-a3b-instruct,13.0,t07_behavioral_ci,2,t10_dpp_sequence,15,8.454545454545455,5.317210478505367,11
claude-haiku-4-5-20251001,13.0,t04_confidence_entropy,1,t10_dpp_sequence,14,4.636363636363637,4.272533844751315,11
gpt-5.4-2026-03-05,13.0,t06_behavioral_er,1,t04_confidence_entropy,14,5.909090909090909,4.3463673442208135,11
glm-5,12.0,t10_dpp_sequence,11,t05_teammate_delegate,23,18.727272727272727,3.7971281013657965,11
gemini-2.0-flash-lite-001,11.0,t06_behavioral_er,1,t05_teammate_delegate,12,5.4,3.5023801430836525,10
qwen3-coder-480b-a35b-instruct,11.0,t02_declared_probe,1,t08_behavioral_em,12,6.181818181818182,3.341202831861059,11
gemma-3-27b-it,11.0,t06_behavioral_er,1,t04_confidence_entropy,12,7.2727272727272725,3.7971281013657965,11
qwen3-235b-a22b-instruct-2507,11.0,t06_behavioral_er,1,t08_behavioral_em,12,6.2727272727272725,3.552208020116758,11
gemma-3-4b-it,9.0,t08_behavioral_em,12,t07_behavioral_ci,21,15.8,2.6997942308422114,10
deepseek-r1-0528,7.0,t03_second_chance,16,t01_delegate_game,23,19.636363636363637,2.2922795323750234,11
gemma-4-31b-it,7.0,t01_delegate_game,16,t04_confidence_entropy,23,19.363636363636363,2.2482316283126735,11
