model,reward_point,reward_ci_lo,reward_ci_hi,reward_se,deleg_auc_point,deleg_auc_ci_lo,deleg_auc_ci_hi,deleg_auc_se,mcc_own_error_point,mcc_own_error_ci_lo,mcc_own_error_ci_hi,mcc_own_error_se,mcc_hardness_point,mcc_hardness_ci_lo,mcc_hardness_ci_hi,mcc_hardness_se,deleg_rate_point,deleg_rate_ci_lo,deleg_rate_ci_hi,deleg_rate_se,declarative_source,accuracy_point,accuracy_ci_lo,accuracy_ci_hi,ece_point,ece_ci_lo,ece_ci_hi,brier_point,brier_ci_lo,brier_ci_hi
claude-haiku-4-5-20251001,0.6712499999999999,0.59,0.7384531249999999,0.03773635895923188,0.86,0.7932436182019978,0.9166666666666667,0.031176641677955974,0.7006490497453707,0.5792883949147181,0.8129190045116005,0.06047586063714455,0.09222859518214328,-0.13765807773448918,0.25182262437346936,0.10245449398415808,0.45,0.3375,0.55,0.053046418352231846,answered_only,0.6818181818181818,0.5454545454545454,0.8181818181818182,0.10227272727272724,0.022727272727272728,0.24730113636363624,0.22443181818181818,0.19460227272727273,0.2627840909090909
claude-opus-4-1-20250805,0.705625,0.603984375,0.79065625,0.04773207679001093,0.7236842105263158,0.6471996386630533,0.7987162162162162,0.040081656659163904,0.5461186812727502,0.4112724870033171,0.6597479978013016,0.0658283914164664,0.11917286644580191,0.0562543950463012,0.1802772867332413,0.0325452103161061,0.2125,0.125,0.3125,0.045391429532456895,answered_only,0.6666666666666666,0.5396825396825397,0.7777777777777778,0.12301587301587302,0.02777777777777776,0.23809523809523814,0.21329365079365079,0.15575396825396826,0.2748015873015873
claude-opus-4-6-default,0.7192307692307692,0.5653846153846154,0.8818749999999999,0.08505114228941153,0.6111111111111112,0.5454545454545454,0.7777777777777778,0.06436765773724985,0.3967460238079361,0.23354968324845687,0.67700320038633,0.12191761555193334,,,,,0.07692307692307693,0.0,0.19230769230769232,0.054878887631695926,answered_only,0.7083333333333334,0.5416666666666666,0.875,0.12500000000000003,0.03125,0.28671874999999974,0.17708333333333334,0.09114583333333333,0.2904296875
deepseek-r1-0528,1.0,1.0,1.0,0.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,answered_only,1.0,1.0,1.0,0.25,0.25,0.25,0.0625,0.0625,0.0625
deepseek-v3.2,0.755263157894737,0.5749342105263159,0.8921052631578948,0.08442411908724017,0.7857142857142857,0.6,1.0,0.09476373873064799,0.6761234037828132,0.37058576588770287,1.0,0.15046459298669448,,,,,0.21052631578947367,0.05263157894736842,0.42105263157894735,0.09467038604790746,answered_only,0.8,0.6,1.0,0.05,0.016666666666666607,0.26666666666666666,0.17083333333333334,0.07083333333333333,0.2875
gemini-2.0-flash-lite-001,0.52125,0.424015625,0.634734375,0.054228798910265386,0.525,0.5108695652173914,0.5654942645074224,0.015557298969177819,0.16012815380508713,0.0967268393619083,0.2713434348276258,0.04884647356962354,0.03673591791853225,0.0180158248443725,0.06660130437886494,0.013715722539036064,0.025,0.0,0.0625,0.01678905893729604,answered_only,0.5128205128205128,0.41025641025641024,0.6153846153846154,0.28525641025641035,0.1858974358974359,0.3862980769230769,0.31971153846153844,0.25556891025641026,0.3798076923076923
gemini-2.5-flash,0.3092857142857143,0.22169642857142863,0.39428571428571424,0.045257861894540556,,,,,,,,,,,,,0.0,0.0,0.0,0.0,answered_only,0.4142857142857143,0.29250000000000015,0.5285714285714286,0.15000000000000002,0.0462500000000001,0.2680357142857141,0.23214285714285715,0.20714285714285716,0.2642857142857143
gemini-3.1-pro-preview,0.8581081081081081,0.7759628378378378,0.9195945945945946,0.03571956480810412,0.763157894736842,0.65625,0.875,0.05568975357708472,0.6725344835612129,0.502518907629606,0.8306085532105072,0.0834539833958674,0.09449111825230681,0.0435515028854656,0.1531679162134967,0.027465492596703528,0.13513513513513514,0.06756756756756757,0.21621621621621623,0.04065586300269361,answered_only,0.859375,0.765625,0.9375,0.078125,0.015625,0.15625,0.1015625,0.05412597656250003,0.16750488281249998
gemma-3-12b-it,0.4,0.3,0.5125,0.055382736479881525,,,,,,,,,,,,,0.0,0.0,0.0,0.0,answered_only,0.4,0.3,0.5125,0.6,0.48750000000000004,0.7,0.6,0.4875,0.7
gemma-3-1b-it,0.35,0.2434375000000001,0.45,0.05304538151432224,,,,,,,,,,,,,0.0,0.0,0.0,0.0,answered_only,0.35,0.2434375000000001,0.45,0.4,0.3,0.5065624999999997,0.3875,0.3375,0.44078124999999985
