domain,threshold,n_items,n_models,alpha
ALL,23,23,23,0.9783859127471725
ALL,20,39,20,0.9864690440087054
ALL,15,80,15,0.9756813260386573
astrophysics,23,2,23,0.7350618562359998
astrophysics,20,3,20,0.8041962307357933
astrophysics,15,5,15,0.7527950705346474
chemistry_(general),23,2,23,0.8513864908548685
chemistry_(general),20,4,20,0.9210921517813256
chemistry_(general),15,9,15,0.7853986362127395
electromagnetism_and_photonics,23,0,0,
electromagnetism_and_photonics,20,0,0,
electromagnetism_and_photonics,15,1,16,
genetics,23,2,23,0.5659470282419978
genetics,20,2,23,0.5659470282419978
genetics,15,3,15,0.30992023788269235
high-energy_particle_physics,23,1,23,
high-energy_particle_physics,20,3,21,0.9397405127104601
high-energy_particle_physics,15,7,15,0.8302052546246725
molecular_biology,23,3,23,0.8545395300809686
molecular_biology,20,6,20,0.9038372501437983
molecular_biology,15,10,15,0.7651361708572917
organic_chemistry,23,8,23,0.9405240175574615
organic_chemistry,20,13,20,0.9630724167361512
organic_chemistry,15,28,15,0.9249266073902583
physics_(general),23,1,23,
physics_(general),20,3,20,0.8511767199474314
physics_(general),15,8,15,0.8129770184690577
quantum_mechanics,23,3,23,0.867597548720041
quantum_mechanics,20,3,23,0.867597548720041
quantum_mechanics,15,7,15,0.908441346029503
relativistic_mechanics,23,1,23,
relativistic_mechanics,20,2,22,0.8712316791109465
relativistic_mechanics,15,2,22,0.8712316791109465
