model,n_dpp,n_fa_total,n_fa_parsed,fa_parse_rate,n_matched,dpp_acc,fa_acc_full,fa_acc_parsed,end_to_end_lift,matched_lift,matched_lift_ci_low,matched_lift_ci_high,n_boot,ci_excludes_zero
gemma2_2b,80,80,80,1.0,80,0.3875,0.275,0.275,0.1125,0.1125,0.0,0.225,10000,0
gemma2_9b,80,80,78,0.975,78,0.4375,0.4375,0.4487,0.0,0.0,-0.1282,0.1282,10000,0
llama3.1_8b,80,80,74,0.925,74,0.4875,0.325,0.3514,0.1625,0.1216,-0.0135,0.2568,10000,0
llama3.2_1b,80,80,64,0.8,64,0.3375,0.275,0.3438,0.0625,0.0156,-0.125,0.1562,10000,0
llama3.2_3b,80,80,73,0.9125,73,0.3375,0.325,0.3562,0.0125,-0.0274,-0.1781,0.1233,10000,0
mistral_7b,80,80,77,0.9625,77,0.3,0.375,0.3896,-0.075,-0.0779,-0.2078,0.0519,10000,0
phi4-mini_latest,80,80,48,0.6,48,0.4375,0.175,0.2917,0.2625,0.125,-0.0625,0.3125,10000,0
qwen2.5_3b,80,80,77,0.9625,77,0.275,0.3375,0.3506,-0.0625,-0.0649,-0.1818,0.0519,10000,0
qwen2.5_7b,80,80,77,0.9625,77,0.475,0.475,0.4935,0.0,-0.013,-0.1558,0.1429,10000,0
COHORT_MEAN_OF_MODELS,,,,,648,,,,,0.0213,-0.0267,0.0705,10000,0
COHORT_POOLED,,,,,648,,,,,0.017,-0.0293,0.0633,10000,0
