model,n_matched,wins,losses,tie_correct,tie_wrong,discordant,churn_rate,mcnemar_exact_p,mcnemar_significant_05
gemma2_2b,80,15,6,16,43,21,0.2625,0.0784,0
gemma2_9b,78,13,13,22,30,26,0.3333,1.0,0
llama3.1_8b,74,17,8,18,31,25,0.3378,0.1078,0
llama3.2_1b,64,10,9,13,32,19,0.2969,1.0,0
llama3.2_3b,73,15,17,9,32,32,0.4384,0.8601,0
mistral_7b,77,11,17,13,36,28,0.3636,0.3449,0
phi4-mini_latest,48,14,8,6,20,22,0.4583,0.2863,0
qwen2.5_3b,77,8,13,14,42,21,0.2727,0.3833,0
qwen2.5_7b,77,17,18,20,22,35,0.4545,1.0,0
COHORT_AGGREGATE,648,120,109,131,288,229,0.3534,0.5088,0
