model,is_reasoning,n_trials,n_signal,n_noise,hit_rate,fa_rate,d_hat,type2_auc,d_star,mc,d_hat_ci_low,d_hat_ci_high,type2_auc_ci_low,type2_auc_ci_high,mc_ci_low,mc_ci_high
gemini-3.1-pro-preview,False,63,32,31,0.9375,0.0,5.2531,0.4918,-0.0291,-0.0055,4.7222,7.438,0.475,0.5,-0.0177,0.0
gemma-3-4b-it,False,124,62,62,1.0,0.3065,4.225,0.4105,-0.3199,-0.0757,3.899,4.5926,0.2982,0.5308,-0.1742,0.0255
gemma-4-31b-it,True,54,27,27,0.963,0.0741,3.2323,0.5,0.0,0.0,2.4027,7.438,0.5,0.5,0.0,0.0
gemini-2.5-flash,True,84,42,42,0.9048,0.0952,2.6183,0.5888,0.3175,0.1213,1.9765,4.854,0.3966,0.7432,-0.1276,0.34
claude-opus-4-1-20250805,True,63,32,31,0.8438,0.0645,2.5279,0.5561,0.1996,0.079,1.8091,5.037,0.3966,0.7394,-0.1269,0.3515
claude-opus-4-6-default,False,34,17,17,0.8824,0.1176,2.3737,0.5333,0.1183,0.0498,1.4661,5.3639,0.5,0.5833,0.0,0.1432
glm-5,True,56,28,28,0.8214,0.1429,1.9884,0.5,0.0,0.0,1.2755,3.2658,0.5,0.5,0.0,0.0
qwen3-235b-a22b-instruct-2507,False,160,80,80,0.8375,0.1625,1.9685,0.5,0.0,0.0,1.5365,2.5002,0.3932,0.6064,-0.1884,0.1871
gpt-5.4-2026-03-05,False,160,80,80,0.7875,0.15,1.8342,0.5053,0.0187,0.0102,1.4224,2.3637,0.402,0.6096,-0.1876,0.2186
gemma-4-26b-a4b-it,False,85,43,42,0.8372,0.2143,1.7747,0.495,-0.0177,-0.01,1.2201,2.503,0.4392,0.575,-0.1248,0.1511
qwen3-next-80b-a3b-thinking,True,141,71,70,0.6901,0.1286,1.6294,0.4955,-0.0161,-0.0099,1.1875,2.1874,0.4857,0.5,-0.0348,0.0
deepseek-r1-0528,True,23,12,11,0.75,0.1818,1.5829,0.55,0.1777,0.1123,0.5356,5.0006,0.2632,0.8,-0.4455,0.7026
gemma-3-27b-it,False,160,80,80,0.75,0.25,1.349,0.5083,0.0295,0.0219,0.9402,1.7948,0.488,0.5391,-0.0299,0.102
gpt-5.4-mini-2026-03-17,False,160,80,80,0.575,0.125,1.3395,0.5846,0.3023,0.2257,0.924,1.8571,0.5051,0.6592,0.0152,0.4095
gemini-2.0-flash-lite-001,False,160,80,80,0.625,0.1625,1.3029,0.5625,0.2225,0.1708,0.8898,1.7886,0.479,0.6434,-0.0624,0.3805
qwen3-next-80b-a3b-instruct,False,160,80,80,0.5375,0.1375,1.1858,0.5743,0.2649,0.2234,0.77,1.6686,0.4953,0.6473,-0.0151,0.4313
gpt-5.4-nano-2026-03-17,False,160,80,80,0.125,0.0125,1.0911,0.5491,0.1746,0.1601,0.4221,2.8106,0.5147,0.5864,0.0485,0.2768
claude-haiku-4-5-20251001,False,160,80,80,0.575,0.1875,1.0763,0.7469,0.9402,0.8736,0.6673,1.5334,0.6684,0.8181,0.5179,1.5167
deepseek-v3.2,False,160,80,80,0.4875,0.1625,0.9529,0.5903,0.323,0.3389,0.5411,1.4353,0.5342,0.6442,0.1115,0.7338
qwen3-coder-480b-a35b-instruct,False,160,80,80,0.0875,0.0125,0.8851,0.5339,0.1205,0.1361,0.1721,2.6222,0.5037,0.5671,0.029,0.2662
gpt-oss-20b,False,160,80,80,0.4125,0.15,0.8153,0.4958,-0.0149,-0.0182,0.3962,1.3005,0.4221,0.5735,-0.3891,0.3731
gemma-3-12b-it,False,124,62,62,0.6613,0.3871,0.7029,0.4928,-0.0254,-0.0362,0.2533,1.1725,0.3995,0.584,-0.6001,0.5464
gemma-3-1b-it,False,124,62,62,0.0,0.0,0.0,0.5,0.0,,0.0,0.0,0.4609,0.5391,,
