model,is_reasoning,verbosity_index,t01_delegate_slope,t01_delegate_rate,t02_coherence_corr,t11_d_hat,t11_type2_auc,t11_mc,inefficiency_score
qwen3-next-80b-a3b-thinking,True,5814.272727272727,0.0,0.0,0.0,1.6294,0.4955,-0.0099,0.7417
glm-5,True,5443.636363636364,0.0,0.0,0.0,1.9884,0.5,0.0,0.7176
deepseek-r1-0528,True,6018.272727272727,0.0,0.0,0.0,1.5829,0.55,0.1123,0.7102
gemma-4-31b-it,True,112.9090909090909,0.0,0.0,0.0,3.2323,0.5,0.0,0.4211
gemini-2.5-flash,True,833.6363636363636,0.0,0.0,,2.6183,0.5888,0.1213,0.4186
claude-opus-4-1-20250805,True,78.63636363636364,0.4173,0.2125,0.371,2.5279,0.5561,0.079,0.3462
claude-opus-4-6-default,False,241.0909090909091,-2.0641,0.0769,0.7055,2.3737,0.5333,0.0498,0.6345
gpt-oss-20b,False,1251.1818181818182,0.0358,0.0125,0.5039,0.8153,0.4958,-0.0182,0.4869
gemma-3-4b-it,False,40.27272727272727,0.0,0.0,0.0,4.225,0.4105,-0.0757,0.4436
gemma-3-12b-it,False,57.90909090909091,0.0,0.0,0.8899,0.7029,0.4928,-0.0362,0.4307
deepseek-v3.2,False,81.27272727272727,-1.1892,0.2105,0.9156,0.9529,0.5903,0.3389,0.4292
gemma-4-26b-a4b-it,False,132.27272727272728,0.0,0.0,,1.7747,0.495,-0.01,0.4256
gemini-3.1-pro-preview,False,85.45454545454545,0.1868,0.1351,0.5371,5.2531,0.4918,-0.0055,0.4012
qwen3-235b-a22b-instruct-2507,False,145.0,0.4444,0.1875,0.892,1.9685,0.5,0.0,0.3747
gpt-5.4-2026-03-05,False,54.45454545454545,0.4155,0.2125,0.8769,1.8342,0.5053,0.0102,0.3692
qwen3-coder-480b-a35b-instruct,False,27.09090909090909,0.0,0.0,0.8679,0.8851,0.5339,0.1361,0.3685
gemini-2.0-flash-lite-001,False,123.9090909090909,-0.028,0.025,0.4742,1.3029,0.5625,0.1708,0.3647
gemma-3-27b-it,False,88.27272727272727,0.4802,0.2,0.0,1.349,0.5083,0.0219,0.3599
qwen3-next-80b-a3b-instruct,False,137.63636363636363,0.0,0.0,0.8268,1.1858,0.5743,0.2234,0.344
gpt-5.4-mini-2026-03-17,False,40.27272727272727,0.0,0.0,0.7986,1.3395,0.5846,0.2257,0.3378
gpt-5.4-nano-2026-03-17,False,53.36363636363637,0.9919,0.375,0.7086,1.0911,0.5491,0.1601,0.254
gemma-3-1b-it,False,49.45454545454545,0.0,0.0,0.0,0.0,0.5,,0.1108
claude-haiku-4-5-20251001,False,246.27272727272728,1.0102,0.45,0.8211,1.0763,0.7469,0.8736,0.0122
