model,is_reasoning,n_questions,activation_mean,activation_std,answer_rate,deliberate_rate,delegate_rate,activation_routing_corr,corr_pvalue
deepseek-r1-0528,True,31,0.443,0.0623,1.0,0.0,0.0,0.0,1.0
gemma-3-4b-it,False,59,0.4011,0.0086,1.0,0.0,0.0,0.0,1.0
gemma-3-27b-it,False,80,0.3825,0.0953,1.0,0.0,0.0,0.0,1.0
glm-5,True,80,0.1975,0.0127,1.0,0.0,0.0,0.0,1.0
gemma-4-31b-it,True,29,0.6046,0.0169,1.0,0.0,0.0,0.0,1.0
gemma-3-1b-it,False,59,0.3288,0.0423,1.0,0.0,0.0,0.0,1.0
qwen3-next-80b-a3b-thinking,True,80,0.5333,0.0,1.0,0.0,0.0,0.0,1.0
claude-opus-4-1-20250805,True,54,0.4049,0.06,0.0926,0.8519,0.0556,0.371,0.0058
gemini-2.0-flash-lite-001,False,80,0.4042,0.0385,0.05,0.95,0.0,0.4742,0.0
gpt-oss-20b,False,23,0.3739,0.0644,0.913,0.087,0.0,0.5039,0.0142
gemini-3.1-pro-preview,False,32,0.3021,0.1323,0.6562,0.3125,0.0312,0.5371,0.0015
claude-opus-4-6-default,False,59,0.2689,0.1239,0.2034,0.7288,0.0678,0.7055,0.0
gpt-5.4-nano-2026-03-17,False,80,0.3875,0.107,0.2875,0.7125,0.0,0.7086,0.0
gpt-5.4-mini-2026-03-17,False,80,0.5317,0.0803,0.7375,0.2625,0.0,0.7986,0.0
claude-haiku-4-5-20251001,False,80,0.38,0.1194,0.65,0.325,0.025,0.8211,0.0
qwen3-next-80b-a3b-instruct,False,79,0.4101,0.0384,0.9494,0.0506,0.0,0.8268,0.0
qwen3-coder-480b-a35b-instruct,False,80,0.4217,0.0773,0.0125,0.675,0.3125,0.8679,0.0
gpt-5.4-2026-03-05,False,80,0.5575,0.089,0.475,0.525,0.0,0.8769,0.0
gemma-3-12b-it,False,59,0.2949,0.2022,0.5593,0.4407,0.0,0.8899,0.0
qwen3-235b-a22b-instruct-2507,False,80,0.53,0.0942,0.4,0.4875,0.1125,0.892,0.0
deepseek-v3.2,False,45,0.3007,0.1206,0.2889,0.2444,0.4667,0.9156,0.0
