model,task_id,n_requests,output_tokens_mean,output_tokens_median,output_tokens_p90,output_tokens_max,cumulative_output_at_end,latency_ms_mean,verbosity_index
claude-haiku-4-5-20251001,t01,80,21.1,22.0,22.0,22,1688,630.0,21.0
claude-haiku-4-5-20251001,t02,80,973.7,941.0,1299.7,1632,77898,8650.0,974.0
claude-haiku-4-5-20251001,t03,160,24.5,24.5,29.0,31,3924,722.9,25.0
claude-haiku-4-5-20251001,t04,80,40.0,40.0,40.0,40,3200,757.2,40.0
claude-haiku-4-5-20251001,t05,80,26.6,27.0,27.0,27,2124,701.1,27.0
claude-haiku-4-5-20251001,t06,160,20.0,20.0,20.0,20,3200,742.7,20.0
claude-haiku-4-5-20251001,t07,80,134.4,134.0,147.1,169,10748,1286.3,134.0
claude-haiku-4-5-20251001,t08,74,26.0,26.0,26.0,26,1924,693.1,26.0
claude-haiku-4-5-20251001,t09,160,26.0,27.0,27.0,27,4164,775.7,26.0
claude-haiku-4-5-20251001,t10,51,1396.3,1323.0,2534.0,2809,71211,13898.3,1396.0
claude-haiku-4-5-20251001,t11,160,20.0,20.0,20.0,20,3200,839.7,20.0
claude-opus-4-1-20250805,t01,80,21.6,22.0,22.0,22,1726,1645.4,22.0
claude-opus-4-1-20250805,t02,54,42.9,43.0,43.0,43,2314,2208.0,43.0
claude-opus-4-1-20250805,t03,111,19.5,15.0,24.0,26,2162,1526.0,19.0
claude-opus-4-1-20250805,t04,80,35.0,35.0,35.0,35,2800,2054.0,35.0
claude-opus-4-1-20250805,t05,80,22.0,22.0,22.0,22,1760,1803.2,22.0
claude-opus-4-1-20250805,t06,61,15.0,15.0,15.0,15,915,2005.3,15.0
claude-opus-4-1-20250805,t07,80,99.1,98.0,114.0,129,7929,3821.9,99.0
claude-opus-4-1-20250805,t08,55,15.0,15.0,15.0,15,825,2090.0,15.0
claude-opus-4-1-20250805,t09,52,21.0,21.0,22.0,22,1092,2235.3,21.0
claude-opus-4-1-20250805,t10,57,559.2,660.0,802.2,909,31873,19239.0,559.0
claude-opus-4-1-20250805,t11,63,15.0,15.0,15.0,15,945,1829.9,15.0
