model,is_reasoning,delegation_slope,overall_delegate_rate,n_questions
claude-opus-4-6-default,False,-2.0641,0.0769,26
deepseek-v3.2,False,-1.1892,0.2105,19
gemini-2.0-flash-lite-001,False,-0.028,0.025,80
deepseek-r1-0528,True,0.0,0.0,2
gemini-2.5-flash,True,0.0,0.0,70
gemma-3-4b-it,False,0.0,0.0,80
gemma-3-1b-it,False,0.0,0.0,80
gemma-3-12b-it,False,0.0,0.0,80
glm-5,True,0.0,0.0,5
gemma-4-31b-it,True,0.0,0.0,32
gemma-4-26b-a4b-it,False,0.0,0.0,59
gpt-5.4-mini-2026-03-17,False,0.0,0.0,80
qwen3-coder-480b-a35b-instruct,False,0.0,0.0,80
qwen3-next-80b-a3b-instruct,False,0.0,0.0,80
qwen3-next-80b-a3b-thinking,True,0.0,0.0,9
gpt-oss-20b,False,0.0358,0.0125,80
gemini-3.1-pro-preview,False,0.1868,0.1351,74
gpt-5.4-2026-03-05,False,0.4155,0.2125,80
claude-opus-4-1-20250805,True,0.4173,0.2125,80
qwen3-235b-a22b-instruct-2507,False,0.4444,0.1875,80
gemma-3-27b-it,False,0.4802,0.2,80
gpt-5.4-nano-2026-03-17,False,0.9919,0.375,80
claude-haiku-4-5-20251001,False,1.0102,0.45,80
